Pfam keyword	Pfam term
GvpG	Gas vesicle protein G 
Noc2	Noc2p family
RBB1NT	RBB1NT (NUC162) domain
CheW	CheW-like domain
CheR	CheR methyltransferase, SAM binding domain|CheR methyltransferase, all-alpha domain
CheZ	Chemotaxis phosphatase, CheZ
CheX	Chemotaxis phosphatase CheX
DUF3921	Protein of unknown function (DUF3921)
Vhr1	Transcription factor Vhr1
CheD	CheD chemotactic sensory transduction
CheC	CheC-like family
VirK	VirK protein
VirJ	Bacterial virulence protein (VirJ)
VirE	Virulence-associated protein E|VirE N-terminal domain
DUF3096	Protein of unknown function (DUF3096)
MCLC	Mid-1-related chloride channel (MCLC)
HIPIP	High potential iron-sulfur protein
PMR5N	PMR5 N terminal Domain
Wax2	WAX2 C-terminal domain
LSD1	LSD1 zinc finger
SOG2	RAM signalling pathway protein
DUF2163	Uncharacterized conserved protein (DUF2163)
DUF2162	Predicted transporter (DUF2162)
DUF2161	Uncharacterized conserved protein (DUF2161)
DUF2160	Predicted small integral membrane protein (DUF2160)
DUF2167	Protein of unknown function (DUF2167)
DUF2165	Predicted small integral membrane protein (DUF2165)
DUF2164	Uncharacterized conserved protein (DUF2164)
DUF2169	Uncharacterized protein conserved in bacteria (DUF2169)
DUF1470	Protein of unknown function (DUF1470)
MARCKS	MARCKS family
FlbD	Flagellar protein (FlbD)
FlbT	Flagellar protein FlbT
FYTT	Forty-two-three protein
DUF3926	Protein of unknown function (DUF3926)
MKT1	Temperature dependent protein affecting M2 dsRNA replication
TSP9	Thylakoid soluble phosphoprotein TSP9
NOG1	Nucleolar GTP-binding protein 1 (NOG1)
TcdB	TcdB toxin N-terminal helical domain
DUF2787	Protein of unknown function (DUF2787)
DUF2786	Protein of unknown function (DUF2786)
DUF2785	Protein of unknown function (DUF2785)
DUF2784	Protein of Unknown function (DUF2784)
DUF2783	Protein of unknown function (DUF2783)
DUF2782	Protein of unknown function (DUF2782)
DUF2781	Protein of unknown function (DUF2781)
DUF2780	Protein of unknown function VcgC/VcgE (DUF2780)
DUF2789	Protein of unknown function (DUF2789)
DUF2788	Protein of unknown function (DUF2788)
YlzJ	YlzJ-like protein
CDC14	Cell division control protein 14, SIN component
NT5C	5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)
DUF3560	Domain of unknown function (DUF3560)
DUF3561	Protein of unknown function (DUF3561)
DUF3562	Protein of unknown function (DUF3562)
DUF3563	Protein of unknown function (DUF3563)
DUF3564	Protein of unknown function (DUF3564)
DUF3565	Protein of unknown function (DUF3565)
DUF3566	Transmembrane domain of unknown function (DUF3566)
DUF3567	Protein of unknown function (DUF3567)
DUF3568	Protein of unknown function (DUF3568)
GDE	Amylo-alpha-1,6-glucosidase |Glycogen debranching enzyme N terminal
DUF4038	Protein of unknown function (DUF4038)
DUF4037	Domain of unknown function (DUF4037)
DUF4035	Protein of unknown function (DUF4035)
DUF4034	Domain of unknown function (DUF4034)
DUF4033	Domain of unknown function (DUF4033)
DUF4032	Domain of unknown function (DUF4032)
DUF4031	Protein of unknown function (DUF4031)
DUF4030	Protein of unknown function (DUF4030)
GDH	Glutamate dehydrogenase N terminal
GDI	GDP dissociation inhibitor
HsbA	Hydrophobic surface binding protein A
Vps52	Vps52 / Sac2 family 
Med10	Transcription factor subunit Med10 of Mediator complex
Med11	Mediator complex protein 
Med12	Transcription mediator complex subunit Med12
Med13	Mediator complex subunit 13 C-terminal|Mediator complex subunit 13 N-terminal
DUF3788	Protein of unknown function (DUF3788)
Med15	ARC105 or Med15 subunit of Mediator complex non-fungal
Med16	Mediator complex subunit 16
Med17	Subunit 17 of Mediator complex
DUF3784	Domain of unknown function (DUF3784)
Med19	Mediator of RNA pol II transcription subunit 19 
DUF3786	Domain of unknown function (DUF3786)
DUF3787	Domain of unknown function (DUF3787)
DUF3780	Protein of unknown function (DUF3780)
DUF3781	Protein of unknown function (DUF3781)
DUF3782	Protein of unknown function (DUF3782)
DUF3783	Domain of unknown function (DUF3783)
FSA	Fragile site-associated protein C-terminus
DUF4259	Domain of unknown function (DUF4259)
DUF4258	Domain of unknown function (DUF4258)
DUF4253	Domain of unknown function (DUF4253)
DUF4252	Domain of unknown function (DUF4252)
DUF4251	Domain of unknown function (DUF4251)
DUF4250	Domain of unknown function (DUF4250)
DUF4257	Protein of unknown function (DUF4257)
DUF4256	Protein of unknown function (DUF4256)
DUF4255	Protein of unknown function (DUF4255)
DUF4254	Protein of unknown function (DUF4254)
BALF1	BALF1 protein
CorA	CorA-like Mg2+ transporter protein
Rxt3	Histone deacetylation protein Rxt3
DIM1	Mitosis protein DIM1
RUN	RUN domain
UxuA	D-mannonate dehydratase (UxuA)
PCEMA1	Acidic phosphoprotein precursor PCEMA1
ORMDL	ORMDL family 
DIL	DIL domain
DUF1556	Protein of unknown function (DUF1556)
DUF1007	Protein of unknown function (DUF1007)
DUF1006	Protein of unknown function (DUF1006)
DUF1003	Protein of unknown function (DUF1003)
DUF1002	Protein of unknown function (DUF1002)
WbqC	WbqC-like protein family
DUF1009	Protein of unknown function (DUF1009)
YrhC	YrhC-like protein
TAFII55	TAFII55 protein conserved region
DIX	DIX domain
Vps54	Vps54-like protein
EMP70	Endomembrane protein 70
RnaseA	Pancreatic ribonuclease
SHQ1	SHQ1 protein
PCNA	Proliferating cell nuclear antigen, C-terminal domain|Proliferating cell nuclear antigen, N-terminal domain
IRS	PTB domain (IRS-1 type)
IRK	Inward rectifier potassium channel|Inward rectifier potassium channel N-terminal
Nop14	Nop14-like family 
Nop16	Ribosome biogenesis protein Nop16
GVQW	Putative binding domain
IRF	Interferon regulatory factor transcription factor
Rio2	Rio2, N-terminal
Hid1	High-temperature-induced dauer-formation protein
Cut12	Spindle-body formation-associated protein
COQ9	COQ9
COQ7	Ubiquinone biosynthesis protein COQ7
PWI	PWI domain
NAC	NAC domain
NAF	NAF domain
DUF1072	Protein of unknown function (DUF1072)
NAM	No apical meristem (NAM) protein
NAS	Nicotianamine synthase protein
NAP	Nucleosome assembly protein (NAP)
BCSC	Cellulose synthase operon protein C C-terminus (BCSC_C)
BON	BON domain
Mon1	Trafficking protein Mon1
BOF	Bacterial OB fold (BOF) protein
EAP30	EAP30/Vps36 family
PsaX	PsaX family
DUF2532	Protein of unknown function (DUF2532)
PsaL	Photosystem I reaction centre subunit XI
PsaM	Photosystem I protein M (PsaM)
PsaN	Photosystem I reaction centre subunit N (PSAN or PSI-N)
PsaD	PsaD
DUF2535	Protein of unknown function (DUF2535)
DUF2578	Protein of unknown function (DUF2578)
DUF2574	Protein of unknown function (DUF2574)  
DUF2575	Protein of unknown function (DUF2575)
DUF2576	Protein of unknown function (DUF2576)
DUF2577	Protein of unknown function (DUF2577)
DUF2570	Protein of unknown function (DUF2570)
DUF2572	Protein of unknown function (DUF2572)
DUF2573	Protein of unknown function (DUF2573)
RestrictionMunI	Type II restriction enzyme MunI
PPTA	Protein prenyltransferase alpha subunit repeat
PixA	Inclusion body protein
BCS1	BCS1 N terminal
HnRNPA1	Nuclear factor hnRNPA1
DUF759	Borrelia burgdorferi protein of unknown function (DUF759)
DUF758	Domain of unknown function (DUF758) 
DUF751	Protein of unknown function (DUF751)
DUF750	Domain of unknown function (DUF750) 
DUF753	Protein of unknown function (DUF753)
DUF755	Domain of unknown function (DUF755) 
DUF754	Protein of unknown function (DUF754)
DUF756	Domain of unknown function (DUF756)
DUF2318	Predicted membrane protein (DUF2318)
DUF2319	Predicted membrane protein (DUF2319)
PIP5K	Phosphatidylinositol-4-phosphate 5-Kinase
DUF2310	Zn-ribbon-containing, possibly nucleic-acid-binding protein (DUF2310)
DUF2312	Uncharacterized protein conserved in bacteria (DUF2312)
DUF2313	Uncharacterized protein conserved in bacteria (DUF2313)
DUF2314	Uncharacterized protein conserved in bacteria (DUF2314)
DUF2315	Uncharacterised conserved protein (DUF2315)
DUF2316	Uncharacterized protein conserved in bacteria (DUF2316)
DUF2317	Uncharacterized protein conserved in bacteria (DUF2317)
PDGF	Platelet-derived growth factor (PDGF)|Platelet-derived growth factor, N terminal region
CLTH	CTLH/CRA C-terminal to LisH motif domain
NMD3	NMD3 family 
DUF3667	Protein of unknown function (DUF3667)
PGDYG	PGDYG protein
DUF3666	Ribose-5-phosphate isomerase 
UvrD	UvrD-like helicase C-terminal domain
DUF3917	Protein of unknown function (DUF3917)
DUF3916	Protein of unknown function (DUF3916)
DUF3911	Protein of unknown function (DUF3911)
DUF3662	Protein of unknown function (DUF2662) 
DUF3959	Protein of unknown function (DUF3959)
DUF3958	Protein of unknown function (DUF3958)
C5HC2	C5HC2 zinc finger
DUF3661	Vaculolar membrane protein 
DUF3951	Protein of unknown function (DUF3951)
DUF3950	Domain of unknown function (DUF3950)
DUF3953	Protein of unknown function (DUF3953)
DUF3952	Domain of unknown function (DUF3952)
DUF3955	Protein of unknown function (DUF3955)
DUF3954	Protein of unknown function (DUF3954)
DUF3956	Protein of unknown function (DUF3956)
RNA12	RNA12 protein
Afi1	Docking domain of Afi1 for Arf3 in vesicle trafficking
TerC	Integral membrane protein TerC family
KNOX2	KNOX2 domain 
KNOX1	KNOX1 domain 
DUF801	C. elegans protein of unknown function (DUF801)
DUF16	Protein of unknown function DUF16
DUF802	Domain of unknown function (DUF802)
DUF805	Protein of unknown function (DUF805)
DUF11	Domain of unknown function DUF11
DUF806	Protein of unknown function (DUF806)
DUF809	Protein of unknown function (DUF809)
DUF808	Protein of unknown function (DUF808)
DUF19	Domain of unknown function (DUF19)
DUF3047	Protein of unknown function (DUF3047)
DUF3046	Protein of unknown function (DUF3046)
DUF3045	Protein of unknown function (DUF3045)
DUF3043	Protein of unknown function (DUF3043)
DUF3042	Protein of unknown function (DUF3042)
DUF3040	Protein of unknown function (DUF3040)
Sec10	Exocyst complex component Sec10
GCN5L1	GCN5-like protein 1 (GCN5L1)
Sec15	Exocyst complex subunit Sec15-like 
DUF3049	Protein of unknown function (DUF3049)
DUF3048	Protein of unknown function (DUF3048)
NB	NB glycoprotein
DRAT	Dinitrogenase reductase ADP-ribosyltransferase (DRAT)
AbfB	Alpha-L-arabinofuranosidase B (ABFB)
WAK	Wall-associated kinase
KxDL	Uncharacterized conserved protein
DUF116	Protein of unknown function DUF116
DUF111	Protein of unknown function DUF111
DUF1638	Protein of unknown function (DUF1638)
DUF1639	Protein of unknown function (DUF1639)
DUF1632	CEO family (DUF1632)
DUF1633	Protein of unknown function (DUF1633)
DUF1631	Protein of unknown function (DUF1631)
DUF1636	Protein of unknown function (DUF1636)
DUF1637	Protein of unknown function (DUF1637)
DUF1634	Protein of unknown function (DUF1634)
DUF1635	Protein of unknown function (DUF1635)
SusE	SusE outer membrane protein
SusD	SusD family|Susd and RagB outer membrane lipoprotein 
NPCBM	NPCBM/NEW2 domain
FKBP	FKBP-type peptidyl-prolyl cis-trans isomerase|Domain amino terminal to FKBP-type peptidyl-prolyl isomerase
PfUIS3	Plasmodium falciparum UIS3 membrane protein
DUF230	Poxvirus proteins of unknown function
DUF236	Protein of unknown function
DUF237	MG032/MG096/MG288 family 1
DUF234	Archaea bacterial proteins of unknown function
IclR	Bacterial transcriptional regulator
DUF239	Domain of unknown function (DUF239)
DUF1496	Protein of unknown function (DUF1496)
DUF1497	Protein of unknown function (DUF1497)
DUF1494	Protein of unknown function (DUF1494)
DUF1495	Winged helix DNA-binding domain (DUF1495)
DUF1492	Protein of unknown function (DUF1492)
DUF1493	Protein of unknown function (DUF1493)
DUF1490	Protein of unknown function (DUF1490)
DUF1491	Protein of unknown function (DUF1491)
OprB	Carbohydrate-selective porin, OprB family
OprF	OprF membrane domain
DUF1498	Protein of unknown function (DUF1498)
DUF1499	Protein of unknown function (DUF1499)
DUF1948	Domain of unknown function (DUF1948)
DUF1949	Domain of unknown function (DUF1949)
DUF1940	Domain of unknown function (DUF1940)
DUF1942	Domain of unknown function (DUF1942)
DUF1943	Domain of unknown function (DUF1943)
DUF1944	Domain of unknown function (DUF1944)
DUF1945	Domain of unknown function (DUF1945)
SerH	Cell surface immobilisation antigen SerH
DUF1947	Domain of unknown function (DUF1947)
PAC2	PAC2 family
Condensin2nSMC	Condensin II non structural maintenance of chromosomes subunit
DUF588	Domain of unknown function (DUF588)
DSBA	DSBA-like thioredoxin domain
DUF585	Protein of unknown function (DUF585)
DUF587	Protein of unknown function (DUF587)
DUF581	Protein of unknown function (DUF581)
ExsB	ExsB
WRW	Mitochondrial F1F0-ATP synthase, subunit f
NCA2	ATP synthase regulation protein NCA2
PRONE	PRONE (Plant-specific Rop nucleotide exchanger)
dDENN	dDENN domain
VirB3	Type IV secretory pathway, VirB3-like protein
FXR1P	Fragile X-related 1 protein C terminal
VirB8	VirB8 protein
MbeB	MbeB-like, N-term conserved region
HSP33	Hsp33 protein
DUF2149	Uncharacterized conserved protein (DUF2149)
DUF2148	Uncharacterized protein containing a ferredoxin domain (DUF2148)
DUF2145	Uncharacterized protein conserved in bacteria (DUF2145)
DUF2147	Uncharacterized protein conserved in bacteria (DUF2147)
DUF2146	Uncharacterized conserved protein (DUF2146)
DUF2141	Uncharacterized protein conserved in bacteria (DUF2141)
DUF2140	Uncharacterized protein conserved in bacteria (DUF2140)
EABR	TSG101 and ALIX binding domain of CEP55
DUF2142	Predicted membrane protein (DUF2142)
SpoVAE	Stage V sporulation protein AE1
SpoVAD	Stage V sporulation protein AD (SpoVAD)
UPF0184	Uncharacterised protein family (UPF0184)
UPF0181	Uncharacterised protein family (UPF0181)
UPF0180	Uncharacterised protein family (UPF0180)
GlnE	Glutamate-ammonia ligase adenylyltransferase
UPF0182	Uncharacterised protein family (UPF0182)
NUFIP1	Nuclear fragile X mental retardation-interacting protein 1 (NUFIP1)
AARP2CN	AARP2CN (NUC121) domain
MarC	MarC family integral membrane protein
BCNT	Bucentaur or craniofacial development
muHD	Muniscin C-terminal mu homology domain
MgsA	MgsA AAA+ ATPase C terminal
PhyH	Phytanoyl-CoA dioxygenase (PhyH)
CedA	Cell division activator CedA
CDC37	Cdc37 C terminal domain|Cdc37 N terminal kinase binding
DUF3548	Domain of unknown function (DUF3548)
DUF3549	Protein of unknown function (DUF3549)
DUF3238	Protein of unknown function (DUF3238)
DUF3239	Protein of unknown function (DUF3239)
DUF3234	Protein of unknown function (DUF3234)
DUF3543	Domain of unknown function (DUF3543)
DUF3236	Protein of unknown function (DUF3236)
DUF3541	Domain of unknown function (DUF3541)
DUF3546	Domain of unknown function (DUF3546)
DUF3231	Protein of unknown function (DUF3231)
DUF3232	Protein of unknown function (DUF3232)
DUF3545	Protein of unknown function (DUF3545)
DUF4019	Protein of unknown function (DUF4019)
DUF4018	Domain of unknown function (DUF4018)
DUF936	Plant protein of unknown function (DUF936)
DUF4011	Protein of unknown function (DUF4011)
DUF4010	Domain of unknown function (DUF4010)
DUF4013	Protein of unknown function (DUF4013)
DUF4012	Protein of unknown function (DUF4012)
DUF4015	Putative glycosyl hydrolase domain
DUF4014	Protein of unknown function (DUF4014)
DUF4017	Protein of unknown function (DUF4017)
DUF4016	Domain of unknown function (DUF4016)
KapB	Kinase associated protein B
HsdM	HsdM N-terminal domain
NusG	Transcription termination factor nusG
NusB	NusB family
NusA	NusA N-terminal domain
Arb2	Arb2 domain
Arb1	Argonaute siRNA chaperone (ARC) complex subunit Arb1
VPS28	VPS28 protein
RAI1	RAI1 like PD-(D/E)XK nuclease
SSI	Subtilisin inhibitor-like
DUF1795	Domain of unknown function (DUF1795)
DUF1794	Domain of unknown function (DUF1794)
DUF1797	Protein of unknown function (DUF1797)
DUF1796	Putative papain-like cysteine peptidase (DUF1796)
DUF1793	Domain of unknown function (DUF1793)
DUF1792	Domain of unknown function (DUF1792)
DUF2027	Domain of unknown function (DUF2027)
DUF1799	Phage related hypothetical protein (DUF1799)
DUF1798	Bacterial domain of unknown function (DUF1798)
DUF3487	Protein of unknown function (DUF3487)
DUF3486	Protein of unknown function (DUF3486)
DUF4275	Domain of unknown function (DUF4275)
DUF4274	Domain of unknown function (DUF4274)
DUF4277	Domain of unknown function (DUF4277)
DUF4276	Domain of unknown function (DUF4276)
DUF4271	Domain of unknown function (DUF4271)
DUF4270	Domain of unknown function (DUF4270)
DUF4272	Domain of unknown function (DUF4272)
RST	RCD1-SRO-TAF4 (RST) plant domain
DUF3483	Domain of unknown function (DUF3483)
DUF4279	Domain of unknown function (DUF4279)
DUF4278	Domain of unknown function (DUF4278)
DUF3482	Domain of unknown function (DUF3482)
DUF1571	Protein of unknown function (DUF1571)
DUF1570	Protein of unknown function (DUF1570)
DUF1573	Protein of unknown function (DUF1573)
DUF1572	Protein of unknown function (DUF1572)
